date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,230,Put,36.75,38.1,0.2516,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,235,Call,0.01,0.03,0.2787,0.0063,0.0012,-0.0049,0.0095,0.0009
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,235,Put,41.6,43.1,0.2787,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,240,Call,0,0.01,0.2993,0.0051,0.0009,-0.0043,0.0078,0.0007
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,240,Put,46.6,48.05,0.2993,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,245,Call,0,0.01,0.3198,0.0042,0.0007,-0.0039,0.0066,0.0006
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,245,Put,51.55,53.1,0.3198,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,250,Call,0,0.02,0.3404,0.0036,0.0006,-0.0036,0.0058,0.0005
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,250,Put,56.55,58.05,0.3404,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,135,Call,58,59.3,0.5111,0.9793,0.0013,-0.0376,0.0375,0.1504
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,135,Put,0.07,0.1,0.4241,-0.0081,0.0007,-0.0065,0.0157,-0.0022
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,140,Call,53,54.35,0.4645,0.9778,0.0016,-0.0377,0.0382,0.1559
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,140,Put,0.1,0.12,0.3991,-0.0109,0.001,-0.0079,0.0202,-0.0029
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,145,Call,48.15,49.25,0.4196,0.976,0.0019,-0.0377,0.04,0.1614
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,145,Put,0.13,0.15,0.3732,-0.0144,0.0013,-0.0093,0.0257,-0.0039
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,150,Call,43.3,44.35,0.3975,0.9674,0.0026,-0.042,0.0562,0.1658
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,150,Put,0.17,0.19,0.3479,-0.0192,0.0019,-0.0111,0.033,-0.0052
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,155,Call,38.3,39.35,0.3485,0.9659,0.0031,-0.0408,0.0566,0.1714
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,155,Put,0.23,0.25,0.3242,-0.0264,0.0026,-0.0135,0.0431,-0.0071
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,160,Call,33.45,34.4,0.3179,0.9566,0.0041,-0.0434,0.068,0.1758
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,160,Put,0.32,0.34,0.3017,-0.0371,0.0038,-0.0165,0.0584,-0.0094
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,165,Call,28.8,29.6,0.3053,0.9331,0.006,-0.0509,0.094,0.1777
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,165,Put,0.46,0.49,0.2815,-0.0542,0.0055,-0.0207,0.0815,-0.0136
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,170,Call,23.8,24.95,0.2737,0.913,0.0082,-0.0538,0.1136,0.1801
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,170,Put,0.69,0.72,0.2627,-0.0805,0.0081,-0.0259,0.1095,-0.0202
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,175,Call,19.45,19.95,0.2489,0.878,0.0116,-0.0586,0.1431,0.1795
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,175,Put,1.05,1.12,0.246,-0.1218,0.0117,-0.0323,0.1422,-0.0303
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,180,Call,15.3,15.65,0.2408,0.8103,0.016,-0.068,0.1913,0.1719
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,180,Put,1.67,1.78,0.2327,-0.1852,0.0164,-0.0395,0.1919,-0.0454
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,185,Call,11.3,11.65,0.2262,0.725,0.021,-0.0735,0.2374,0.16
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,185,Put,2.64,2.79,0.2199,-0.2743,0.0218,-0.0452,0.238,-0.0655
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,190,Call,7.9,8.1,0.2147,0.6122,0.0254,-0.0757,0.2703,0.141
